126:[G, D, D, B, G, H, G, G, B, D, H, D, B, H, D, H, H, H, H, G]
678:[G, H, B, B, D, H, D, B, B, D, G, H, G, D, G, H, D, H, G, H]
775:[H, G, G, D, B, B, B, D, H, H, D, G, B, H, G, B, H, H, D, H]
578:[G, H, H, D, D, H, B, H, D, H, B, B, G, D, B, G, G, B, B, G]
33:[G, G, B, H, B, H, B, D, G, D, H, B, D, D, B, G, B, B, B, G]
31:[B, G, G, D, D, B, B, B, G, B, D, G, H, H, G, D, B, G, G, B]
789:[H, D, D, B, B, D, B, G, B, D, D, H, H, G, G, D, B, B, G, G]
327:[B, G, G, D, D, B, B, B, G, B, G, G, H, H, D, B, B, G, G, D]
291:[D, B, D, G, H, D, G, H, G, B, G, B, B, G, G, D, B, D, B, D]
221:[G, B, D, D, G, B, H, B, D, B, H, B, B, H, G, G, B, G, G, D]
770:[B, D, D, B, H, H, G, G, B, H, D, D, B, B, D, B, H, H, D, G]
156:[G, B, G, H, H, B, D, D, D, H, B, G, D, H, D, G, B, D, D, B]
800:[H, G, B, G, H, B, D, G, D, D, D, B, H, G, D, B, B, B, B, H]
342:[B, B, G, G, B, H, B, G, D, D, D, H, G, B, G, B, D, B, B, G]
836:[B, D, B, B, D, G, D, G, H, D, H, D, H, G, D, B, H, H, D, B]
446:[D, G, B, H, B, G, G, B, H, G, H, D, G, D, H, G, D, H, H, B]
724:[B, H, D, H, D, G, B, B, D, D, G, H, G, D, H, G, G, H, H, B]
878:[B, H, G, H, D, G, B, B, D, D, G, H, G, D, H, G, G, H, H, B]
640:[H, G, G, D, D, G, H, B, G, B, B, H, B, D, H, H, H, H, H, G]
483:[H, G, G, D, D, G, H, B, G, B, B, H, B, D, H, H, H, H, H, B]
429:[B, D, B, B, B, D, G, B, G, D, G, B, B, H, G, H, G, G, G, D]
295:[B, D, B, B, B, D, G, B, G, D, G, B, B, D, G, H, G, G, G, D]
857:[H, D, G, B, G, D, D, G, H, D, D, H, B, D, D, B, B, H, G, G]
516:[B, H, H, D, B, G, D, G, B, G, H, G, H, G, H, H, D, D, H, D]
531:[D, G, D, B, D, B, H, H, G, G, G, D, H, G, H, D, B, D, G, B]
974:[B, H, G, B, G, B, H, H, H, B, H, B, H, B, D, H, D, D, H, D]
108:[H, D, D, G, B, H, H, G, G, D, D, B, B, H, G, G, H, G, G, D]
745:[H, B, B, H, B, G, D, G, G, D, D, D, B, B, G, D, D, D, B, H]
407:[B, H, B, H, G, H, B, D, H, B, G, D, D, G, H, G, D, H, H, B]
641:[H, G, G, B, G, G, B, H, H, D, B, B, H, H, G, D, H, H, D, D]
508:[G, H, H, D, G, H, B, H, D, H, B, B, G, D, H, G, B, B, B, D]
817:[H, G, D, D, D, D, B, G, B, G, D, B, B, G, D, G, G, B, G, H]
349:[H, G, D, D, D, D, B, G, B, G, D, B, B, G, D, G, B, B, G, H]
497:[G, B, D, B, G, D, H, B, D, B, H, B, B, G, G, G, B, G, H, D]
207:[H, B, H, G, G, H, D, B, D, G, H, H, H, H, G, G, D, H, G, B]
131:[H, B, H, G, G, H, D, B, D, G, B, H, H, H, G, G, D, H, G, B]
188:[B, D, G, B, D, B, G, G, D, D, B, B, B, G, G, D, G, B, D, D]
157:[D, G, G, B, G, B, H, G, B, H, D, D, B, H, B, G, G, G, D, H]
809:[D, G, G, B, G, B, H, G, B, B, D, D, B, H, B, G, G, G, D, H]
248:[D, H, D, G, G, D, G, G, G, H, H, B, D, D, H, B, H, H, B, H]
713:[D, H, D, G, G, G, G, G, G, H, H, B, D, D, H, B, H, H, B, H]
993:[B, B, D, H, D, G, B, D, D, D, G, H, G, D, H, D, H, H, B, B]
898:[B, H, H, D, D, H, B, G, G, G, H, G, H, G, H, G, D, H, G, B]
12:[B, H, H, D, B, H, B, G, G, G, H, G, H, G, D, G, D, H, G, B]
884:[D, G, D, H, G, B, B, H, B, G, D, H, G, G, G, B, B, G, H, H]
797:[G, H, G, H, G, H, B, B, B, D, D, H, G, B, G, B, B, B, H, D]
191:[B, H, G, H, G, H, B, B, B, H, D, H, G, B, D, B, B, B, H, B]
911:[B, D, G, D, H, H, G, B, D, B, D, G, H, H, H, G, H, H, B, H]
953:[H, D, B, B, H, D, B, B, D, D, B, G, H, G, B, H, B, B, H, D]
593:[H, G, B, H, B, D, H, G, B, B, D, H, H, D, G, G, H, H, B, H]
748:[B, B, G, H, B, D, D, G, D, D, B, H, H, B, G, B, D, B, H, G]
372:[G, D, D, B, B, G, H, H, D, D, G, H, D, H, H, G, D, D, G, B]
330:[G, B, B, B, D, H, B, D, G, D, B, H, G, G, B, B, G, B, D, G]
790:[H, D, B, H, B, G, B, H, H, H, D, B, G, D, B, D, H, D, B, G]
11:[B, B, G, H, G, D, D, G, B, B, D, H, B, D, B, D, B, D, G, H]
143:[B, B, G, G, B, D, D, G, D, D, D, H, H, B, G, B, D, B, H, G]
75:[D, B, D, H, B, H, D, B, B, G, G, D, B, D, D, B, B, G, H, H]
520:[G, G, B, H, B, G, D, D, B, D, B, D, D, H, G, D, D, G, H, H]
357:[D, G, D, H, D, B, G, D, G, D, H, D, B, D, B, B, D, G, B, H]
756:[D, B, D, G, G, H, G, G, B, G, H, H, B, B, G, H, G, B, D, B]
189:[D, B, D, G, G, H, G, G, B, G, H, G, B, B, G, H, G, B, D, B]
251:[D, H, G, D, G, D, G, G, G, B, H, G, G, G, D, G, G, B, B, H]
711:[G, D, G, G, H, D, D, D, H, H, G, B, D, G, D, H, H, B, D, G]
335:[H, D, B, G, G, D, B, G, D, G, D, B, B, G, G, D, D, D, D, G]
715:[D, H, G, G, G, D, G, G, G, B, H, G, G, D, B, G, G, B, B, H]
662:[D, H, G, D, G, D, G, G, G, B, H, G, B, D, B, G, G, B, B, H]
679:[D, D, B, B, B, H, G, B, G, D, H, B, B, H, G, H, D, D, G, D]
636:[H, G, G, G, H, D, G, B, G, D, D, B, G, H, D, B, G, B, B, D]
435:[H, D, G, B, B, B, B, G, H, G, D, H, H, B, D, B, B, H, G, D]
202:[H, D, G, B, B, B, B, G, H, G, D, H, H, B, H, B, B, H, G, D]
196:[D, H, G, G, B, D, B, D, H, B, G, B, H, D, B, H, B, B, G, G]
107:[H, D, G, D, D, G, G, B, B, G, D, B, B, D, H, G, G, D, G, D]
236:[H, B, H, D, D, G, G, B, B, G, D, B, B, D, H, G, G, D, H, D]
125:[D, D, G, D, B, D, G, G, G, G, H, G, H, B, H, D, H, B, B, D]
945:[H, D, G, G, B, B, G, B, H, G, D, H, H, B, G, H, H, D, B, D]
368:[D, H, G, G, B, B, D, G, B, B, H, H, B, H, B, G, G, H, H, H]
539:[H, B, G, D, D, B, H, B, H, B, B, H, B, D, B, H, D, H, H, B]
712:[G, G, B, H, B, H, B, B, H, G, H, D, D, B, B, B, B, D, H, H]
322:[D, H, D, G, G, D, D, B, B, B, B, H, H, B, H, H, D, G, D, G]
860:[D, H, D, B, B, H, B, H, G, H, G, G, H, B, D, B, D, H, G, D]
709:[B, D, D, B, H, B, G, G, B, H, D, D, B, B, D, B, H, H, H, G]
273:[B, B, D, G, B, H, B, G, D, D, D, H, G, B, G, B, D, H, B, G]
433:[H, B, G, B, D, B, H, H, D, D, B, H, D, D, H, H, B, G, B, D]
187:[H, B, G, G, D, B, H, G, D, D, H, H, D, D, H, H, B, G, B, D]
625:[B, H, H, D, B, G, D, G, B, H, H, G, H, G, H, H, D, D, B, D]
788:[G, B, D, G, H, B, H, B, D, G, H, H, B, D, H, H, B, G, G, B]
558:[H, B, B, G, B, B, G, G, D, G, D, B, H, B, D, G, D, G, G, D]
183:[G, D, D, B, B, G, H, H, D, D, G, H, G, H, H, H, D, D, G, B]
509:[G, B, G, B, G, H, H, G, H, G, D, B, H, B, H, H, B, B, H, B]
979:[D, B, G, B, G, H, H, G, H, D, D, B, H, B, H, H, B, B, H, B]
384:[D, H, B, B, H, G, H, G, G, B, D, G, B, G, H, G, B, H, B, H]
881:[D, H, H, B, H, G, H, G, G, B, D, G, B, G, H, G, B, D, B, D]
680:[B, G, G, B, B, D, G, D, G, D, B, H, D, B, D, B, H, G, B, D]
502:[B, G, G, B, B, D, G, D, G, D, B, H, D, B, D, B, H, G, H, D]
240:[G, D, B, G, G, G, B, D, H, D, B, D, D, D, D, D, G, H, G, B]
951:[D, D, G, D, B, D, G, G, G, G, H, G, D, B, H, D, H, B, B, D]
227:[G, B, D, H, G, G, G, B, D, D, G, D, G, H, G, G, B, H, B, D]
651:[G, B, G, B, G, H, H, G, H, D, D, D, H, B, D, D, G, B, H, B]
277:[B, B, G, B, G, H, H, G, D, D, D, D, H, B, D, D, G, B, H, B]
752:[G, H, B, B, D, D, B, D, G, H, D, B, G, G, B, B, H, B, G, D]
456:[D, H, B, D, B, G, H, G, D, D, G, B, B, D, H, D, H, H, B, H]
524:[G, G, G, D, B, G, H, G, B, H, H, B, D, D, H, B, B, B, H, H]
561:[D, G, H, G, B, D, G, B, G, B, B, B, H, D, B, G, H, D, D, H]
844:[H, D, B, B, G, D, D, G, H, D, D, H, B, D, D, B, B, H, G, G]
816:[G, H, H, D, G, H, B, H, D, H, B, H, G, D, H, G, B, B, H, D]
175:[G, G, B, H, B, G, B, B, B, D, B, D, D, H, G, D, D, G, H, H]
902:[H, D, B, G, G, D, B, G, D, G, D, G, B, G, G, H, D, D, G, G]
626:[B, D, G, D, H, H, G, B, D, B, D, G, H, H, H, G, G, G, B, H]
434:[B, D, G, D, H, H, G, B, D, B, D, G, H, H, H, G, G, D, B, G]
595:[B, H, H, D, D, D, G, B, H, B, D, G, H, H, H, G, B, G, B, H]
778:[B, H, G, D, H, D, G, B, H, B, D, G, H, H, H, G, B, G, B, H]
325:[D, B, G, B, D, B, G, G, H, D, D, D, B, D, D, G, D, G, H, G]
147:[D, B, G, D, D, B, G, G, H, D, D, D, B, D, D, G, D, G, H, G]
237:[D, G, B, H, G, D, G, G, B, B, D, B, D, D, B, G, H, H, B, H]
768:[G, G, H, H, H, B, G, H, D, B, H, B, D, H, H, D, B, B, H, B]
225:[G, H, B, G, H, B, G, H, B, H, G, D, D, G, G, B, D, D, D, B]
525:[D, G, D, D, D, G, H, H, G, G, G, D, H, G, H, D, B, D, G, B]
439:[D, H, G, G, B, D, D, D, H, B, G, B, H, D, D, H, G, B, G, G]
782:[H, D, D, B, B, H, H, B, G, D, D, B, B, H, G, G, H, G, G, D]
2:[B, B, G, H, B, D, D, G, D, D, D, H, H, B, G, B, D, B, G, G]
565:[D, D, B, H, B, B, G, B, D, B, G, G, H, G, H, H, G, B, D, B]
726:[G, H, H, D, G, H, D, H, D, H, B, B, G, B, H, H, G, B, B, D]
81:[D, G, B, H, D, D, D, H, H, G, H, B, D, D, B, H, G, B, H, G]
79:[B, G, B, H, D, D, D, H, H, G, D, B, D, D, B, H, G, B, H, G]
669:[D, D, H, G, D, G, G, H, B, G, G, B, H, G, D, B, B, D, G, B]
158:[B, D, B, B, H, D, H, B, D, D, B, G, H, G, B, H, H, B, H, D]
777:[H, D, G, G, B, B, G, B, B, G, D, H, H, B, G, H, H, D, B, D]
396:[D, H, H, G, G, B, D, D, D, D, D, D, H, H, B, G, D, H, B, G]
633:[D, D, H, G, G, B, D, D, D, D, D, D, H, H, B, G, D, H, B, G]
422:[H, G, B, D, B, D, D, B, G, B, G, G, D, B, G, H, G, D, H, B]
828:[B, G, H, D, G, G, D, G, D, G, B, B, H, G, B, H, D, D, G, G]
707:[G, H, B, B, D, G, D, B, G, H, H, D, G, H, B, G, D, H, D, B]
665:[G, B, D, D, G, B, H, B, D, B, G, B, B, H, D, G, B, G, G, D]
927:[D, G, D, H, G, B, B, H, B, G, D, H, H, G, D, B, B, G, H, H]
635:[B, B, G, H, B, D, D, G, D, G, B, H, H, H, G, B, D, B, H, G]
863:[D, H, G, D, G, D, G, G, G, B, H, G, G, D, D, G, G, B, B, H]
992:[D, B, H, B, B, D, H, B, H, D, H, H, H, G, B, D, H, B, G, D]
120:[B, D, B, B, B, H, G, B, G, D, H, B, B, H, G, H, H, D, G, D]
66:[H, G, D, G, H, D, G, G, G, D, D, G, G, D, D, B, G, B, D, D]
521:[G, H, B, B, D, D, B, D, G, H, D, B, G, G, D, B, H, B, G, D]
564:[B, G, H, B, B, H, D, B, G, B, D, H, H, G, G, B, D, D, H, H]
72:[B, G, H, B, B, H, D, B, G, B, D, H, H, G, D, B, D, D, H, H]
964:[H, D, B, H, B, G, B, G, H, H, D, B, G, D, B, D, H, D, B, G]
471:[H, B, G, G, D, H, B, D, G, D, B, D, G, G, D, B, H, B, G, G]
604:[D, H, G, D, B, B, D, G, B, B, H, G, B, H, B, G, G, H, D, H]
278:[H, G, B, D, B, D, D, H, G, B, G, G, D, B, G, H, G, D, H, B]
647:[G, G, B, H, B, H, D, B, H, G, H, D, D, D, B, G, B, D, H, H]
177:[H, G, G, D, B, B, H, B, H, B, B, H, B, D, B, H, D, H, H, B]
705:[G, D, G, G, G, B, D, B, B, G, H, D, H, D, G, H, H, D, B, B]
200:[G, H, B, B, D, H, D, B, B, D, G, B, G, D, G, H, D, H, H, H]
915:[D, G, B, G, B, H, G, B, H, G, B, G, G, D, D, G, B, H, H, B]
303:[D, G, D, G, B, H, G, B, H, G, B, G, G, D, D, G, B, D, H, B]
504:[H, B, D, G, B, H, G, D, B, G, G, B, H, D, G, H, H, B, B, H]
847:[D, H, G, G, B, D, B, D, H, B, G, B, H, D, D, H, B, B, G, G]
347:[H, G, G, D, B, B, B, B, H, H, D, G, B, H, G, B, H, H, D, H]
83:[D, H, G, D, G, B, D, D, G, G, B, B, H, D, H, B, B, H, H, B]
263:[D, H, G, B, H, D, B, G, B, G, H, B, D, H, H, G, B, H, D, G]
783:[D, H, G, B, D, D, B, G, B, G, H, B, H, D, H, G, B, H, D, G]
652:[B, D, D, B, B, H, B, B, G, H, D, B, B, H, G, G, D, D, G, D]
698:[B, D, G, B, B, H, B, B, G, H, D, B, B, H, G, D, D, G, G, D]
118:[H, B, G, H, G, D, D, G, B, B, D, H, B, D, B, H, B, D, G, H]
55:[G, B, G, B, G, H, H, G, H, D, D, D, H, B, D, H, G, B, H, B]
856:[D, H, B, D, B, G, H, G, D, B, G, B, B, D, H, D, H, H, B, H]
352:[D, H, B, H, B, H, D, G, G, B, B, D, H, B, H, D, B, H, G, G]
537:[B, B, G, H, B, D, D, G, B, D, D, H, H, G, G, G, D, B, H, G]
231:[B, B, G, H, B, D, D, G, B, D, D, H, H, B, G, G, D, B, H, G]
585:[G, B, G, B, B, H, D, B, D, H, D, H, B, H, G, G, D, G, D, G]
164:[G, H, D, D, G, G, B, H, D, D, B, H, B, G, D, B, B, G, H, H]
443:[H, G, B, B, H, G, D, D, D, D, B, G, H, G, B, H, H, B, H, D]
321:[B, H, B, D, G, G, B, G, D, B, H, B, D, D, H, D, G, D, B, G]
310:[D, H, B, G, G, D, D, B, B, G, B, H, H, B, H, H, D, G, D, G]
252:[B, G, H, B, H, H, D, D, G, B, D, H, H, G, G, B, G, D, B, H]
500:[B, H, B, H, G, H, B, D, B, D, G, D, D, G, G, G, D, H, H, B]
542:[B, D, G, G, H, G, B, D, H, G, B, G, D, H, G, B, H, B, H, H]
610:[H, B, B, G, B, B, G, G, D, G, D, B, H, D, D, G, D, H, G, D]
914:[H, B, H, H, D, D, D, H, B, B, G, D, B, H, G, G, H, B, D, H]
583:[D, G, G, B, G, B, H, G, B, H, D, D, B, H, B, G, B, G, D, H]
223:[H, G, B, B, H, G, D, D, D, D, H, D, G, G, B, D, H, B, H, G]
244:[D, G, B, G, D, D, G, B, G, G, B, B, H, D, B, G, H, D, D, H]
664:[H, H, B, B, B, G, B, G, B, D, B, B, H, H, H, B, B, H, H, B]
791:[H, D, H, G, B, D, H, D, G, D, B, D, B, H, B, H, G, G, D, B]
455:[D, D, H, G, D, G, G, H, B, G, H, B, H, G, D, B, B, D, G, B]
757:[G, D, G, D, H, G, H, D, B, B, D, G, G, G, D, G, H, B, B, B]
774:[D, D, D, G, D, G, G, H, B, G, H, B, H, G, D, B, B, D, G, B]
50:[H, G, G, B, H, G, H, B, H, B, B, H, B, D, B, H, D, H, H, B]
69:[G, B, D, B, G, B, H, B, B, B, H, D, D, D, G, H, B, G, D, B]
113:[B, H, G, D, G, D, D, D, H, H, B, G, B, G, H, D, B, B, D, B]
148:[B, B, D, H, D, G, B, D, D, D, G, G, G, D, H, D, H, H, B, B]
959:[D, H, H, D, G, H, D, H, D, H, B, B, G, D, H, B, G, B, B, D]
268:[H, D, B, H, G, G, B, G, H, H, D, D, G, D, B, D, H, D, B, G]
184:[H, D, B, H, D, G, B, G, H, H, G, D, G, D, B, D, H, D, B, G]
799:[G, G, B, H, B, H, B, B, H, G, H, D, D, D, B, B, B, D, H, H]
739:[D, B, D, B, H, H, H, D, D, H, B, B, B, G, D, H, H, G, B, B]
689:[D, B, G, G, D, D, D, B, B, B, H, G, D, G, B, H, B, H, H, H]
842:[D, H, B, B, D, D, B, H, G, B, G, G, H, B, D, B, D, H, G, D]
84:[D, B, G, D, B, B, D, H, G, G, G, G, D, D, H, H, B, H, B, B]
398:[B, D, H, B, D, H, B, G, D, B, G, H, H, D, B, G, G, G, G, B]
242:[H, G, D, G, G, D, G, D, B, D, G, B, G, D, B, H, B, H, H, B]
4:[B, G, D, D, H, D, B, H, G, H, B, B, B, H, D, B, G, D, G, H]
871:[G, G, B, H, D, D, H, D, B, H, B, H, G, B, D, B, D, G, H, B]
882:[H, G, G, D, B, G, B, B, D, G, B, D, H, H, H, B, G, H, B, D]
891:[D, D, H, G, D, B, H, B, G, B, D, G, G, H, D, G, D, B, G, H]
895:[G, B, B, H, D, D, G, G, D, H, B, B, H, D, G, D, B, H, B, B]
896:[G, B, B, H, D, D, G, G, D, H, B, B, H, D, G, G, B, H, B, B]
908:[B, H, D, B, D, H, B, H, H, B, G, B, B, H, B, H, H, H, D, G]
916:[D, B, G, D, D, H, H, B, H, B, B, G, D, H, B, H, B, H, H, G]
283:[B, D, B, D, B, G, D, G, D, G, H, H, G, G, G, B, D, H, G, H]
48:[D, D, G, G, D, B, G, G, H, D, G, B, B, H, D, H, B, D, H, H]
121:[H, G, G, D, B, H, G, B, D, B, G, B, H, B, D, D, G, H, H, H]
731:[B, D, H, B, D, H, H, G, D, B, G, B, H, D, B, G, G, D, G, B]
234:[D, B, G, G, G, D, D, G, B, D, D, H, H, B, H, B, D, B, B, G]
699:[H, G, B, D, G, G, B, B, D, H, G, H, B, D, H, B, H, B, B, D]
130:[D, H, G, G, B, B, B, H, H, B, G, D, H, D, D, H, G, B, G, G]
920:[G, H, D, B, G, B, H, G, G, H, D, D, B, D, D, B, G, H, G, D]
67:[B, B, H, B, D, H, G, D, D, H, G, H, B, B, G, H, D, D, H, B]
617:[B, H, D, G, D, G, B, B, H, B, D, H, B, H, G, H, G, D, D, G]
289:[B, D, G, B, H, D, H, D, G, B, G, B, D, G, D, D, G, G, H, H]
684:[B, G, H, D, B, G, D, H, D, B, B, B, H, H, B, H, H, D, G, G]
921:[D, B, B, G, G, B, H, B, H, D, B, D, D, H, G, G, G, G, D, G]
922:[D, B, B, G, G, B, H, B, H, D, B, D, D, H, B, G, G, G, D, G]
923:[D, B, H, B, H, B, G, D, G, G, G, D, D, H, D, D, B, H, H, B]
925:[D, H, B, G, G, D, D, B, G, B, H, D, G, B, H, G, B, G, D, D]
969:[H, D, B, G, G, H, G, B, H, D, B, D, D, H, B, B, D, H, G, H]
179:[H, G, G, B, D, H, D, D, B, D, G, B, H, B, H, D, G, H, B, G]
602:[G, D, B, H, D, H, B, B, G, B, G, G, H, B, B, H, H, B, H, D]
934:[D, D, B, B, B, G, H, B, H, G, D, B, G, G, D, G, D, D, H, B]
940:[D, G, H, D, D, B, H, G, B, G, D, D, G, D, G, B, D, H, B, B]
950:[D, H, B, D, B, H, B, H, H, B, B, H, G, H, G, D, G, D, G, D]
988:[G, H, D, B, D, H, G, G, B, G, D, H, B, D, D, H, B, B, D, H]
995:[B, D, B, H, H, B, H, H, B, B, H, D, B, G, D, G, G, G, B, B]
997:[G, H, G, D, G, B, H, B, H, D, G, B, B, H, B, H, D, B, D, G]
956:[D, G, H, D, D, B, B, B, H, B, H, G, D, G, H, B, B, G, G, B]
9:[D, G, G, H, D, B, D, H, G, D, B, H, D, B, B, H, G, H, G, B]
21:[D, G, G, H, D, B, D, H, G, D, B, H, D, B, B, H, B, H, G, B]
119:[B, G, H, H, G, B, D, D, B, B, D, H, B, H, H, B, B, D, H, G]
885:[H, D, G, D, B, D, G, D, D, G, B, H, H, B, D, B, H, H, G, G]
40:[B, D, H, B, D, H, B, G, H, B, G, D, H, D, G, G, G, D, G, B]
801:[D, G, H, D, D, B, H, G, B, G, G, D, G, D, H, B, D, H, B, B]
468:[G, G, H, G, G, D, G, B, B, D, H, B, G, D, D, D, B, H, H, B]
889:[D, B, H, G, G, D, G, H, B, D, D, B, G, G, B, D, D, G, H, H]
873:[H, B, H, D, D, B, H, G, H, G, D, B, D, G, G, G, B, H, H, G]
264:[B, B, G, D, G, G, D, D, H, G, B, D, D, H, G, B, D, H, D, G]
872:[B, B, G, D, G, G, D, D, H, G, D, D, D, H, G, B, D, H, G, G]
928:[B, H, B, H, G, G, D, B, B, H, D, D, D, B, G, H, D, H, G, D]
987:[B, B, B, H, G, G, D, B, B, H, D, D, D, B, G, H, D, H, G, D]
182:[H, D, B, B, G, G, G, H, G, B, D, D, B, H, H, B, G, H, D, H]
661:[D, H, G, B, G, G, D, G, B, H, D, B, H, G, D, D, H, G, D, G]
714:[B, B, D, B, H, H, H, H, D, B, B, G, B, G, H, G, G, B, D, G]
802:[G, H, H, G, G, D, D, D, D, B, B, G, H, G, D, G, D, B, H, B]
877:[B, G, G, D, B, G, G, H, G, D, G, B, H, B, D, G, B, D, H, H]
761:[H, G, G, D, D, D, D, G, G, D, D, B, H, G, D, G, B, B, B, H]
939:[B, G, H, B, G, B, H, H, G, B, B, D, H, B, D, G, H, D, B, G]
897:[B, G, G, H, G, D, D, D, D, G, H, G, D, G, B, D, B, G, B, H]
670:[H, D, B, G, D, H, G, B, H, G, B, D, D, B, B, B, D, H, G, H]
209:[G, B, B, D, G, H, H, D, H, D, D, G, B, B, H, B, B, H, D, B]
70:[B, G, H, G, B, D, B, H, D, G, B, H, D, G, H, B, B, H, D, G]
573:[B, G, H, G, B, B, B, H, D, G, B, H, D, G, H, B, B, H, D, G]
53:[G, G, B, B, D, D, H, D, D, B, H, H, B, H, B, G, G, G, D, D]
141:[G, G, D, B, B, G, D, G, D, B, G, D, D, H, G, D, D, G, D, D]
606:[B, G, G, D, B, H, G, B, H, D, G, B, H, B, D, D, G, H, H, H]
267:[B, B, H, B, G, H, B, D, H, D, G, B, D, H, G, D, B, H, D, B]
329:[D, H, B, B, B, H, B, H, G, D, H, H, B, B, G, G, D, G, G, H]
701:[D, B, D, G, B, G, H, G, B, B, H, G, D, D, H, D, H, H, B, H]
29:[B, H, D, B, B, G, D, G, H, D, B, H, D, G, G, B, D, D, G, G]
696:[B, D, D, B, G, G, D, G, H, D, B, G, D, G, G, B, H, D, G, G]
971:[D, D, B, G, B, D, G, B, H, G, H, D, D, G, D, B, H, H, G, D]
643:[G, D, B, H, G, B, G, H, D, B, D, G, D, H, D, G, B, B, D, B]
734:[B, B, D, G, B, G, H, G, G, D, G, D, H, B, D, H, H, B, H, B]
294:[B, B, H, B, G, H, D, G, D, H, B, D, B, H, D, B, H, G, D, H]
260:[G, G, D, G, D, D, G, B, H, D, D, G, B, H, G, H, G, B, D, H]
515:[G, G, D, G, D, D, G, B, H, H, D, G, B, H, G, D, G, B, D, H]
337:[B, D, H, G, D, H, D, G, B, D, G, B, H, D, B, B, G, H, H, H]
579:[B, D, H, G, D, H, D, G, B, D, G, B, H, G, B, B, G, B, H, H]
704:[H, G, B, H, G, B, B, B, B, D, G, H, B, D, H, B, H, B, H, D]
719:[H, G, B, H, G, B, B, B, B, D, G, H, B, D, H, B, H, G, H, D]
